"Network","park","lat_rank","avg_stock","avg_DBI","num_stocked","num_plots","prop_stocked","park_ord"
"ERMN","ALPO",29,10.4318181818182,3.18181818181818,0,22,0,"ALPO"
"ERMN","BLUE",6,18.98125,2.825,3,40,0.075,"BLUE"
"ERMN","DEWA",32,47.4575,3.04,14,102,0.137254901960784,"DEWA"
"ERMN","FONE",24,35.4,3.25,3,20,0.15,"FONE"
"ERMN","FRHI",23,14.55,3.45,0,20,0,"FRHI"
"ERMN","GARI",9,39.2916666666667,2.52380952380952,13,43,0.302325581395349,"GARI"
"ERMN","JOFL",28,16.8333333333333,3.25,0,12,0,"JOFL"
"ERMN","NERI",7,34.5808823529412,2.69607843137255,19,102,0.186274509803922,"NERI"
"MIDN","APCO",4,54.8601417520351,3.67857142857143,6,28,0.214285714285714,"APCO"
"MIDN","BOWA",1,66.0086363045734,3.875,1,8,0.125,"BOWA"
"MIDN","FRSP",10,31.1987814285923,3.86538461538462,6,104,0.0576923076923077,"FRSP"
"MIDN","GETT",25,88.7328602082545,3.51515151515152,10,33,0.303030303030303,"GETT"
"MIDN","HOFU",27,51.4826597667887,4,2,16,0.125,"HOFU"
"MIDN","PETE",2,35.2103827930091,3.84615384615385,4,52,0.0769230769230769,"PETE"
"MIDN","RICH",5,29.7108387916173,3.59375,3,32,0.09375,"RICH"
"MIDN","VAFO",26,4.60577210907875,4.42857142857143,0,28,0,"VAFO"
"NCBN","COLO",3,26.1689757125801,4.31914893617021,4,48,0.0833333333333333,"COLO"
"NCBN","GEWA",8,11.8298225312815,4.125,0,8,0,"GEWA"
"NCBN","SAHI",31,10.2687962205506,3.5,0,4,0,"SAHI"
"NCBN","THST",11,8.52802013560028,4.625,0,8,0,"THST"
"NCRN","ANTI",21,20.1059593289266,3.84615384615385,0,13,0,"ANTI"
"NCRN","CATO",22,3.03902291938279,4.06122448979592,0,49,0,"CATO"
"NCRN","CHOH",19,4.56475373828179,3.96,0,75,0,"CHOH"
"NCRN","GWMP",15,13.2454932286097,3.85,1,20,0.05,"GWMP"
"NCRN","HAFE",18,3.16894869856888,4.35,0,20,0,"HAFE"
"NCRN","MANA",13,11.5697472639643,4.58823529411765,1,17,0.0588235294117647,"MANA"
"NCRN","MONO",20,41.086668123832,4.26666666666667,1,15,0.0666666666666667,"MONO"
"NCRN","NACE",14,27.0774995256338,3.79166666666667,3,48,0.0625,"NACE"
"NCRN","PRWI",12,38.9640796833687,4.11724137931034,10,145,0.0689655172413793,"PRWI"
"NCRN","ROCR",17,27.2345643702642,4,0,19,0,"ROCR"
"NCRN","WOTR",16,29.2121319487317,3.66666666666667,1,6,0.166666666666667,"WOTR"
"NETN","ACAD",39,61.3768939393939,2.57954545454545,62,176,0.352272727272727,"ACAD"
"NETN","MABI",38,62.25,3.16666666666667,6,24,0.25,"MABI"
"NETN","MIMA",35,16.55,3.3,0,20,0,"MIMA"
"NETN","MORR",30,45.9166666666667,4.17857142857143,3,28,0.107142857142857,"MORR"
"NETN","ROVA",34,17.7333333333333,3.675,0,40,0,"ROVA"
"NETN","SAGA",37,25.968253968254,3.38095238095238,1,21,0.0476190476190476,"SAGA"
"NETN","SARA",36,17.2083333333333,4.125,1,32,0.03125,"SARA"
"NETN","WEFA",33,6.90000000000001,3.6,0,10,0,"WEFA"
